Size, Data Structure, AddToFront, AddToBack, SortOfUnsorted, SortOfSorted, linearSearchFindable,binarySearchFindable, linearSearchNotFindable, binarySearchNotFindable
100,ArrayList,182679,82134,733762.6667,317655.3333,23885,4551.666667,11649,8101.333333
1000,,277159.3333,165297,9085329,2470680.333,93266.66667,7030,74037,7807.666667
2000,,415088.6667,900037.3333,8084468,10358791,113160,7489.333333,142614.3333,6618.666667
5000,,1949793.667,365044.6667,57202042.67,61297704.33,312451.3333,19865.33333,524980.6667,20672.66667
,,,,,,,,,
100,LinkedList,156557,66187.33333,1567132,528225,27741.33333,5890.333333,16423.66667,3628.333333
1000,,221115.3333,159327,370909629.7,444378699.7,476240.3333,24341.33333,532458.3333,18151.66667
2000,,161411,148286.6667,3243863378,3829787942,2582519.667,45119,2008415.333,23401
5000,,401298,384393.6667,54966915378,70323437628,13077335.67,182068.6667,13959046.67,68093.33333
