Value,Index,WithIterator, WithoutIterator
4.0,0,37040,2961
4.0,0,4555,2424
15.0,4,8478,7321
10.0,9,11088,6996
4.0,0,7294,3571
15.0,4,10799,6148
10.0,9,15374,7287
4.0,0,3345,2666
15.0,4,5557,4345
10.0,9,7633,5467
4.0,0,3089,2148
15.0,4,16600,4861
10.0,9,17852,11202
4.0,0,2687,2136
15.0,4,4414,3403
10.0,9,7115,6952
